name,is_active,created_at,id
D.G. Vaishnav College,t,2026-09-07 02:37:20.59967+00,1
Loyola College,t,2026-09-07 02:37:20.59967+00,2
Madras Christian College,t,2026-09-07 02:37:20.59967+00,3
Presidency College,t,2026-09-07 02:37:20.59967+00,4
College of Engineering Guindy,t,2026-09-07 02:37:20.59967+00,5
SSN College of Engineering,t,2026-09-07 02:37:20.59967+00,6
Hindustan Institute of Technology and Science,t,2026-09-07 02:37:20.59967+00,7
SRM Institute of Science and Technology,t,2026-09-07 02:37:20.59967+00,8
Chennai Mathematical Institute,t,2026-09-07 02:37:20.59967+00,9
PSG College of Technology,t,2026-09-07 02:37:20.59967+00,10
